nom_produit;categorie_produit;variante;SKU (identifiant unique de variante);id_variante
WHX;Product A;35 / B / FtO;96-7E8-3B3-249-2-227B1EC;21067873
WHX;Product A;36 / B / FtO;FF-21F-BB2-6D1-F-B55CB55;36708084
WHX;Product A;30 / A / FtO;7F-81E-8C5-267-C-23675DE;16264779
QID;Product A;33 / B / FtO;D7-1A1-76B-10F-E-07F69A4;24064862
QID;Product A;34 / C / FtO;11-356-3A7-D26-3-6157C1A;24064862
QID;Product A;37 / B / FtO;19-2F1-435-D47-8-37AB18F;24064862
QID;Product A;32 / A / FtO;FF-6B2-7F7-B6E-F-41B2E75;24064862
QID;Product A;36 / A / FtO;F3-B80-DB5-467-B-B8291C4;24064862
VXH;Product A;38 / B / FtO;EF-FF5-440-EAB-A-4AFC1AF;40522014
WHX;Product P;35 / A / FtO;B3-23B-1A3-62D-A-287B1D1;99622642
WHX;Product A;34 / B / FtO;9D-D1B-FA1-0A5-1-B6F673C;80366662
QID;Product A;35 / B / 32;3E-A58-476-241-0-BEDE184;88833325
WHX;Product A;32 / B / FtO;81-763-504-1B8-8-023BFE1;12412505
RIH;Product A;36 / B / 31;5E-DB7-08F-956-F-BC8ABB1;42005255
WHX;Product A;36 / B / FtO;FF-21F-BB2-6D1-F-B55CB55;36708084
WHX;Product A;35 / B / FtO;96-7E8-3B3-249-2-227B1EC;21067873
QID;Product A;32 / B / FtO;B5-C77-70B-E98-4-03D271B;24064862
WHX;Product A;34 / B / 33;A1-B78-D7E-C97-E-3B24E1E;77924166
OTH;Product F;34 / B / FtO;E7-EA5-BCD-C78-D-7E74BCF;61310715
DPR;DPR;100;AD-982-708-895-F-6C894FB;52039657
YMR;Product W;34 / B / FtO;FD-CDB-A8E-A51-5-D618010;44945143
WHX;Product P;34 / A / FtO;76-BA0-289-04B-C-9EB5C4F;83605938
WHX;Product P;30 / A / 28;70-6A6-E11-2C3-D-B08EFEB;94152622
KNB;Product P;34 / B / FtO;C1-87B-404-415-F-650D609;50738429
WHX;Product P;31 / A / FtO;E1-B96-373-C3C-2-FD46EF7;78029228
NSP;Product P;33 / B / FtO;1A-671-750-AA9-8-E6CB734;22559066
RJF;Product P;34 / A / 32;33-469-6BD-F57-5-4F07DFE;17042414
RJF;Product P;34 / B / FtO;32-AA7-838-2C8-E-1195FE8;98393407
XEB;Product P;32 / A / FtO;9B-4F6-394-270-9-B42418C;29493563
INU;Product D;32 / A / FtO;0A-D78-708-539-B-11D14F4;19814633
QID;Product H;33 / A / FtO;24-B2B-10C-137-B-A565191;78259177
AYN;Product H;34 / C / FtO;30-B67-DE0-DF2-0-288A94E;19153428
EYV;Product H;32 / A / FtO;31-A68-649-E13-0-395E0D1;22559066
WHX;Product D;35 / A / FtO;B5-FCE-32C-364-6-B2ECF30;32574006
WHX;Product D;38 / C / FtO;E1-64D-1D6-299-2-142A3C0;16999640
YQX;Product H;35 / B / FtO;13-97C-FB5-79E-F-992A8BF;62538818
YQX;Product H;33 / B / FtO;88-B81-680-097-8-382CF03;93145342
TSH;Product P;32 / A / FtO;2D-F56-9F0-829-C-29623CD;40522014
AYN;Product H;30 / A / FtO;1D-03C-026-11A-2-80C6BF2;55729787
UQJ;Product H;38 / B / 30;91-6F0-E5B-07B-0-C19CDC1;34940745
UQJ;Product H;36 / C / FtO;E2-3AF-B6F-A02-0-63B2562;87226152
DPR;DPR;89;B4-CA5-576-2BB-C-22AC3F0;98970920
DPR;DPR;89;B4-CA5-576-2BB-C-22AC3F0;98970920
DPR;DPR;89;B4-CA5-576-2BB-C-22AC3F0;98970920
NMA;Product E;38 / B / FtO;51-666-5B8-D0A-D-8FFA1DB;38274452
NMA;Product F;36 / C / FtO;81-816-DFA-66B-9-A20C325;38274452
HZX;Product B;32 / A / FtO;D4-B7E-1D3-5B1-1-53C4CA7;24064862
TSH;Product N;XL / Sl / Re;02-F1A-B75-3B2-8-7DE33BD;57946473
YQX;Product F;38 / C / FtO;B5-665-D9D-0DC-F-8872B34;38274452
NMA;Product F;40 / B / FtO;5E-3FA-62D-BCE-1-8C23920;38274452
WHX;Product P;31 / B / FtO;DD-85C-817-6E1-7-63A3E31;42076473
NSP;Product P;33 / A / FtO;AC-BB8-B86-8DD-4-E487272;22559066
WHX;Product P;33 / A / FtO;30-A45-0F8-A47-3-597F220;30466884
OTH;Product P;33 / B / 31;1D-553-D24-12B-F-9D7383D;86566529
WHX;Product P;34 / B / FtO;4A-30E-267-CB3-1-506E7F7;35638092
WHX;Product P;34 / B / FtO;4A-30E-267-CB3-1-506E7F7;35638092
KNB;Product P;32 / A / FtO;7B-D03-EA4-89A-9-5B1B695;37086199
WHX;Product P;36 / B / FtO;91-036-77F-B0C-A-F756CA7;78895639
WHX;Product P;34 / B / FtO;4A-30E-267-CB3-1-506E7F7;35638092
WHX;Product P;32 / A / FtO;93-BCE-0C8-1F0-0-CE76A69;66995443
XEB;Product P;31 / A / FtO;AA-BDF-076-A77-3-AB997BE;86889819
XEB;Product P;33 / A / FtO;82-EFF-7F5-6BC-1-2C02C47;70587223
XEB;Product D;30 / A / 31;2E-194-158-36B-F-C9F2432;69114344
WHX;Product P;32 / A / 33;58-691-D15-677-A-5CE8E54;59276428
XEB;Product D;33 / B / FtO;ED-C14-848-8DB-3-CAFE85A;91346673
YYI;Product P;32 / A / FtO;43-C59-316-222-6-2011683;40522014
AYN;Product H;33 / B / FtO;B2-6F1-C7D-824-4-5AD849C;57555781
WHX;Product A;36 / B / FtO;FF-21F-BB2-6D1-F-B55CB55;36708084
QID;Product A;31 / A / FtO;92-C2A-555-D34-0-763849B;24064862
WHX;Product A;34 / A / FtO;BB-624-2EC-849-6-55C3AE9;70509397
VXH;Product A;32 / A / FtO;57-9D4-ECB-549-A-3126C9C;40522014
VXH;Product A;34 / A / FtO;1E-ABC-800-42D-7-9DBD9CF;40522014
WHX;Product A;38 / B / 34;7E-DAD-8E2-3C0-B-EC15779;40529625
WHX;Product A;38 / B / FtO;EF-F3E-148-CF7-A-4D9D1A2;79462777
WHX;Product A;33 / B / FtO;5F-43E-65F-156-0-0AD92FE;20095790
VXH;Product A;38 / C / FtO;B0-997-A27-CF9-D-9AC4561;40522014
VXH;Product A;30 / A / FtO;0F-691-E1A-56C-3-AE4F169;40522014
QID;Product A;32 / B / FtO;B5-C77-70B-E98-4-03D271B;24064862
QID;Product A;32 / B / FtO;B5-C77-70B-E98-4-03D271B;24064862
WHX;Product A;30 / B / 31;E2-703-DF0-834-6-400D889;81189207
WHX;Product A;31 / B / FtO;EB-A53-881-E00-8-5F0FDB3;65947576
WHX;Product A;38 / C / 30;70-43D-434-AA7-9-907C2AD;17146738
WHX;Product A;31 / A / FtO;0D-2AF-7D5-045-1-AE6BB76;37839824
WHX;Product A;35 / A / FtO;BC-7BD-D2B-669-E-84E1F1D;37217608
WHX;Product A;33 / C / FtO;41-68B-D29-76E-E-E5B6B5D;29165501
WHX;Product A;31 / A / FtO;0D-2AF-7D5-045-1-AE6BB76;37839824
WHX;Product A;32 / B / FtO;81-763-504-1B8-8-023BFE1;12412505
WHX;Product A;38 / C / FtO;28-1F9-816-C17-5-91FC861;49907974
QID;Product A;35 / B / 30;AA-1F4-E84-F2C-6-CC22A52;88833325
WHX;Product A;34 / A / FtO;BB-624-2EC-849-6-55C3AE9;70509397
QID;Product A;37 / C / 30;1E-0E2-C7B-6F0-6-75DB919;42762973
QID;Product A;34 / B / 31;1A-46E-3F9-D76-6-4D06A23;13245298
RIH;Product A;32 / B / FtO;D4-B87-F13-99B-E-7D9F68E;77674869
WHX;Product A;36 / B / FtO;FF-21F-BB2-6D1-F-B55CB55;36708084
WHX;Product A;34 / B / FtO;9D-D1B-FA1-0A5-1-B6F673C;80366662
WHX;Product A;36 / B / FtO;FF-21F-BB2-6D1-F-B55CB55;36708084
RIH;Product A;37 / B / FtO;5A-D3E-427-1F8-C-38C063E;77674869
VXH;Product A;34 / A / 28;37-0B4-D22-663-5-CA7AB4E;92102721
RIH;Product A;37 / B / FtO;5A-D3E-427-1F8-C-38C063E;77674869
WHX;Product A;34 / A / FtO;BB-624-2EC-849-6-55C3AE9;70509397
WHX;Product A;33 / A / 32;4C-7A5-2C6-2FD-8-50AA337;59952954
WHX;Product A;36 / C / FtO;98-D3B-B5B-DE3-E-45946A7;17050446
WHX;Product A;35 / C / FtO;16-F03-95F-008-2-F56510C;94592586
WHX;Product A;36 / C / FtO;98-D3B-B5B-DE3-E-45946A7;17050446
RIH;Product A;32 / B / 31;C1-963-2C2-205-F-7DFDED6;17445332
VXH;Product A;35 / B / 32;3C-5DC-F9D-31C-9-5B9BC1F;57342451
WHX;Product A;32 / B / 31;CE-FD4-020-D1C-F-4D0CAB4;83530193
WHX;Product A;34 / A / FtO;BB-624-2EC-849-6-55C3AE9;70509397
WHX;Product A;36 / B / FtO;FF-21F-BB2-6D1-F-B55CB55;36708084
WHX;Product A;36 / C / FtO;98-D3B-B5B-DE3-E-45946A7;17050446
RIH;Product A;32 / B / FtO;D4-B87-F13-99B-E-7D9F68E;77674869
VXH;Product A;32 / A / 31;A2-412-AAB-658-5-FF37A4C;92102721
RIH;Product A;32 / B / FtO;D4-B87-F13-99B-E-7D9F68E;77674869
VXH;Product A;33 / A / FtO;90-2BE-111-DFD-4-CC661C3;40522014
WHX;Product A;34 / B / FtO;9D-D1B-FA1-0A5-1-B6F673C;80366662
VXH;Product A;33 / A / FtO;90-2BE-111-DFD-4-CC661C3;40522014
VXH;Product A;36 / B / FtO;64-9CB-2FA-1D3-7-AE7C4EF;40522014
QID;Product A;32 / A / FtO;FF-6B2-7F7-B6E-F-41B2E75;24064862
QID;Product A;40 / C / FtO;04-EAF-BE4-125-E-245D9BC;24064862
VXH;Product A;33 / A / 32;06-1F7-560-BA2-5-7295265;42762973
QID;Product A;34 / B / FtO;14-A12-D21-CD2-F-95BB1BB;24064862
VXH;Product A;32 / B / FtO;0D-2B7-2E2-3BF-F-D10E26B;40522014
WHX;Product A;34 / A / FtO;BB-624-2EC-849-6-55C3AE9;70509397
WHX;Product A;33 / A / FtO;AE-C5E-278-422-3-5613D01;55495324
WHX;Product A;38 / C / FtO;28-1F9-816-C17-5-91FC861;49907974
VXH;Product A;36 / B / FtO;64-9CB-2FA-1D3-7-AE7C4EF;40522014
WHX;Product A;32 / B / FtO;81-763-504-1B8-8-023BFE1;12412505
QID;Product A;31 / C / FtO;18-871-753-5E1-F-5A70401;24064862
VXH;Product A;36 / C / 33;C4-AC7-485-F95-8-D7C0E80;36310924
WHX;Product A;34 / A / 32;33-14F-779-F87-4-BB8B8C6;83530193
QID;Product A;32 / B / FtO;B5-C77-70B-E98-4-03D271B;24064862
WHX;Product A;31 / B / FtO;EB-A53-881-E00-8-5F0FDB3;65947576
WHX;Product A;36 / C / FtO;98-D3B-B5B-DE3-E-45946A7;17050446
WHX;Product A;34 / A / FtO;BB-624-2EC-849-6-55C3AE9;70509397
QID;Product A;33 / B / FtO;D7-1A1-76B-10F-E-07F69A4;24064862
WHX;Product A;33 / B / FtO;5F-43E-65F-156-0-0AD92FE;20095790
WHX;Product A;32 / A / FtO;1F-688-D33-147-7-145B5FA;62880921
WHX;Product A;40 / C / FtO;50-FAB-9CA-570-6-60A9B91;88825540
VXH;Product A;34 / C / FtO;20-F33-6F0-787-0-86A336C;40522014
VXH;Product A;32 / A / FtO;57-9D4-ECB-549-A-3126C9C;40522014
WHX;Product A;38 / B / FtO;EF-F3E-148-CF7-A-4D9D1A2;79462777
WHX;Product A;35 / A / FtO;BC-7BD-D2B-669-E-84E1F1D;37217608
VXH;Product A;34 / A / FtO;1E-ABC-800-42D-7-9DBD9CF;40522014
WHX;Product A;32 / B / FtO;81-763-504-1B8-8-023BFE1;12412505
QID;Product A;34 / B / FtO;14-A12-D21-CD2-F-95BB1BB;24064862
WHX;Product A;31 / B / FtO;EB-A53-881-E00-8-5F0FDB3;65947576
QID;Product A;38 / B / FtO;C3-C60-C90-933-0-441E21B;24064862
WHX;Product A;34 / B / 34;46-472-8D4-08E-6-E526AFE;72284108
QID;Product A;32 / B / FtO;B5-C77-70B-E98-4-03D271B;24064862
WHX;Product A;34 / B / FtO;9D-D1B-FA1-0A5-1-B6F673C;80366662
QID;Product A;32 / A / FtO;FF-6B2-7F7-B6E-F-41B2E75;24064862
WHX;Product A;34 / A / FtO;BB-624-2EC-849-6-55C3AE9;70509397
WHX;Product A;33 / A / FtO;AE-C5E-278-422-3-5613D01;55495324
WHX;Product A;34 / B / FtO;9D-D1B-FA1-0A5-1-B6F673C;80366662
WHX;Product A;36 / B / FtO;FF-21F-BB2-6D1-F-B55CB55;36708084
WHX;Product A;32 / C / FtO;DB-974-CD0-1A5-3-98DEDA0;54628773
WHX;Product A;32 / A / FtO;1F-688-D33-147-7-145B5FA;62880921
WHX;Product A;34 / B / FtO;9D-D1B-FA1-0A5-1-B6F673C;80366662
WHX;Product A;32 / A / FtO;1F-688-D33-147-7-145B5FA;62880921
WHX;Product A;35 / A / FtO;BC-7BD-D2B-669-E-84E1F1D;37217608
